author,authorLabel,genderLabel,orcid
https://database.factgrid.de/entity/Q396758,Magnus Pfeffer,Männliches Geschlecht,0000-0002-2141-6721
https://database.factgrid.de/entity/Q398024,Franz Fischer,Männliches Geschlecht,0000-0002-2162-5531
https://database.factgrid.de/entity/Q1380157,Cecilia Graiff,Weibliches Geschlecht,0000-0002-2226-7174
https://database.factgrid.de/entity/Q396728,Nadine Arndt,Weibliches Geschlecht,0000-0002-2257-7236
https://database.factgrid.de/entity/Q989340,Verena Lyding,Weibliches Geschlecht,0000-0002-2301-6860
https://database.factgrid.de/entity/Q396712,Daniel Jettka,Männliches Geschlecht,0000-0002-2375-2227
https://database.factgrid.de/entity/Q396803,Marco Stallmann,Männliches Geschlecht,0000-0002-2402-3173
https://database.factgrid.de/entity/Q397744,Gertraud Koch,Weibliches Geschlecht,0000-0002-2457-3335
https://database.factgrid.de/entity/Q1380129,Marie-Christine Boucher,Weibliches Geschlecht,0000-0002-2475-3184
https://database.factgrid.de/entity/Q396687,Peter Stadler,Männliches Geschlecht,0000-0002-2544-1481
https://database.factgrid.de/entity/Q396454,Lina Franken,Weibliches Geschlecht,0000-0002-2587-4068
https://database.factgrid.de/entity/Q989341,Lucia Sohmen,Weibliches Geschlecht,0000-0002-2593-8754
https://database.factgrid.de/entity/Q397414,Patrick Dinger,Männliches Geschlecht,0000-0002-2649-4737
https://database.factgrid.de/entity/Q397534,Annelen Brunner,Weibliches Geschlecht,0000-0002-2704-1190
https://database.factgrid.de/entity/Q396761,Anne Purschwitz,Weibliches Geschlecht,0000-0002-2754-8792
https://database.factgrid.de/entity/Q1380194,Susanne Kurz,Weibliches Geschlecht,0000-0002-2824-1485
https://database.factgrid.de/entity/Q1380423,Roland Reichen,Männliches Geschlecht,0000-0002-2969-9009
https://database.factgrid.de/entity/Q398523,Nils Diewald,Männliches Geschlecht,0000-0002-2993-9180
https://database.factgrid.de/entity/Q397588,Peter Leinen,Männliches Geschlecht,0000-0002-3014-000X
https://database.factgrid.de/entity/Q398539,Andreas Niekler,Männliches Geschlecht,0000-0002-3036-3318
https://database.factgrid.de/entity/Q396689,Giulia Grisot,Weibliches Geschlecht,0000-0002-3038-6202
https://database.factgrid.de/entity/Q396736,Katharina Leyrer,Weibliches Geschlecht,0000-0002-3051-0621
https://database.factgrid.de/entity/Q396775,Ina Blümel,Weibliches Geschlecht,0000-0002-3075-7640
https://database.factgrid.de/entity/Q396626,Judith Brottrager,Weibliches Geschlecht,0000-0002-3108-8936
https://database.factgrid.de/entity/Q989342,Yuliya Fadeeva,Weibliches Geschlecht,0000-0002-3119-7892
https://database.factgrid.de/entity/Q1380276,Estrid Sørensen,Weibliches Geschlecht,0000-0002-3131-9415
https://database.factgrid.de/entity/Q398230,Charlotte Schubert,Weibliches Geschlecht,0000-0002-3132-8231
https://database.factgrid.de/entity/Q396722,Felix Lange,Männliches Geschlecht,0000-0002-3201-3792
https://database.factgrid.de/entity/Q1380168,Benjamin Hitz,Männliches Geschlecht,0000-0002-3208-4881
https://database.factgrid.de/entity/Q397790,Nina Rastinger,Weibliches Geschlecht,0000-0002-3235-5063
https://database.factgrid.de/entity/Q397520,Florian Thiery,Männliches Geschlecht,0000-0002-3246-3531
https://database.factgrid.de/entity/Q397896,Malte Rehbein,Männliches Geschlecht,0000-0002-3252-0604
https://database.factgrid.de/entity/Q824383,Konstantin Schulz,Männliches Geschlecht,0000-0002-3261-9735
https://database.factgrid.de/entity/Q1380451,Ursula Stampfer,Weibliches Geschlecht,0000-0002-3308-7048
https://database.factgrid.de/entity/Q396026,Tinghui Duan,Männliches Geschlecht,0000-0002-3324-0938
https://database.factgrid.de/entity/Q257166,Ruth von dem Bussche,Weibliches Geschlecht,0000-0002-3360-0104
https://database.factgrid.de/entity/Q397760,Elisabeth Burr,Weibliches Geschlecht,0000-0002-3445-150X
https://database.factgrid.de/entity/Q1380184,Arne Klemenz,Männliches Geschlecht,0000-0002-3450-8748
https://database.factgrid.de/entity/Q398434,Stefan Buddenbohm,Männliches Geschlecht,0000-0002-3469-6101
https://database.factgrid.de/entity/Q396619,Marian Dörk,Männliches Geschlecht,0000-0002-3469-7841
https://database.factgrid.de/entity/Q1380171,Stefan Hynek,Männliches Geschlecht,0000-0002-3485-0746
